wb_indicator_name,wb_indicator_api_code,wb_indicator_type,"insert into wb_indicator (wb_indicator_name,wb_indicator_api_code,wb_indicator_type) values('"
Agricultural raw materials exports (% of merchandise exports),TX.VAL.AGRI.ZS.UN,RGN,"insert into wb_indicator (wb_indicator_name,wb_indicator_api_code,wb_indicator_type) values('Agricultural raw materials exports (% of merchandise exports)','TX.VAL.AGRI.ZS.UN','RGN');"
Agricultural raw materials imports (% of merchandise imports),TM.VAL.AGRI.ZS.UN,RGN,"insert into wb_indicator (wb_indicator_name,wb_indicator_api_code,wb_indicator_type) values('Agricultural raw materials imports (% of merchandise imports)','TM.VAL.AGRI.ZS.UN','RGN');"
"Agriculture, value added (% of GDP)",NV.AGR.TOTL.ZS,RGN,"insert into wb_indicator (wb_indicator_name,wb_indicator_api_code,wb_indicator_type) values('Agriculture, value added (% of GDP)','NV.AGR.TOTL.ZS','RGN');"
Bank capital to assets ratio (%),FB.BNK.CAPA.ZS,RGN,"insert into wb_indicator (wb_indicator_name,wb_indicator_api_code,wb_indicator_type) values('Bank capital to assets ratio (%)','FB.BNK.CAPA.ZS','RGN');"
Bank capital to total assets (%),GFDD.SI.03,RGN,"insert into wb_indicator (wb_indicator_name,wb_indicator_api_code,wb_indicator_type) values('Bank capital to total assets (%)','GFDD.SI.03','RGN');"
Bank cost to income ratio (%),GFDD.EI.07,RGN,"insert into wb_indicator (wb_indicator_name,wb_indicator_api_code,wb_indicator_type) values('Bank cost to income ratio (%)','GFDD.EI.07','RGN');"
Bank credit to bank deposits (%),GFDD.SI.04,RGN,"insert into wb_indicator (wb_indicator_name,wb_indicator_api_code,wb_indicator_type) values('Bank credit to bank deposits (%)','GFDD.SI.04','RGN');"
Bank deposits to GDP (%),GFDD.OI.02,RGN,"insert into wb_indicator (wb_indicator_name,wb_indicator_api_code,wb_indicator_type) values('Bank deposits to GDP (%)','GFDD.OI.02','RGN');"
Bank liquid reserves to bank assets ratio (%),FD.RES.LIQU.AS.ZS,RGN,"insert into wb_indicator (wb_indicator_name,wb_indicator_api_code,wb_indicator_type) values('Bank liquid reserves to bank assets ratio (%)','FD.RES.LIQU.AS.ZS','RGN');"
Bank net interest margin (%),GFDD.EI.01,RGN,"insert into wb_indicator (wb_indicator_name,wb_indicator_api_code,wb_indicator_type) values('Bank net interest margin (%)','GFDD.EI.01','RGN');"
Bank nonperforming loans to gross loans (%),GFDD.SI.02,RGN,"insert into wb_indicator (wb_indicator_name,wb_indicator_api_code,wb_indicator_type) values('Bank nonperforming loans to gross loans (%)','GFDD.SI.02','RGN');"
Bank regulatory capital to risk-weighted assets (%),GFDD.SI.05,RGN,"insert into wb_indicator (wb_indicator_name,wb_indicator_api_code,wb_indicator_type) values('Bank regulatory capital to risk-weighted assets (%)','GFDD.SI.05','RGN');"
"Bank return on assets (%, after tax)",GFDD.EI.05,RGN,"insert into wb_indicator (wb_indicator_name,wb_indicator_api_code,wb_indicator_type) values('Bank return on assets (%, after tax)','GFDD.EI.05','RGN');"
"Bank return on assets (%, before tax)",GFDD.EI.09,RGN,"insert into wb_indicator (wb_indicator_name,wb_indicator_api_code,wb_indicator_type) values('Bank return on assets (%, before tax)','GFDD.EI.09','RGN');"
"Bank return on equity (%, after tax)",GFDD.EI.06,RGN,"insert into wb_indicator (wb_indicator_name,wb_indicator_api_code,wb_indicator_type) values('Bank return on equity (%, after tax)','GFDD.EI.06','RGN');"
"Bank return on equity (%, before tax)",GFDD.EI.10,RGN,"insert into wb_indicator (wb_indicator_name,wb_indicator_api_code,wb_indicator_type) values('Bank return on equity (%, before tax)','GFDD.EI.10','RGN');"
Broad money (% of GDP),FM.LBL.BMNY.GD.ZS,RGN,"insert into wb_indicator (wb_indicator_name,wb_indicator_api_code,wb_indicator_type) values('Broad money (% of GDP)','FM.LBL.BMNY.GD.ZS','RGN');"
Broad money growth (annual %),FM.LBL.BMNY.ZG,RGN,"insert into wb_indicator (wb_indicator_name,wb_indicator_api_code,wb_indicator_type) values('Broad money growth (annual %)','FM.LBL.BMNY.ZG','RGN');"
Broad money to total reserves ratio,FM.LBL.BMNY.IR.ZS,RGN,"insert into wb_indicator (wb_indicator_name,wb_indicator_api_code,wb_indicator_type) values('Broad money to total reserves ratio','FM.LBL.BMNY.IR.ZS','RGN');"
Central bank assets to GDP (%),GFDD.DI.06,RGN,"insert into wb_indicator (wb_indicator_name,wb_indicator_api_code,wb_indicator_type) values('Central bank assets to GDP (%)','GFDD.DI.06','RGN');"
"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,RGN,"insert into wb_indicator (wb_indicator_name,wb_indicator_api_code,wb_indicator_type) values('Central government debt, total (% of GDP)','GC.DOD.TOTL.GD.ZS','RGN');"
Current account balance (% of GDP),BN.CAB.XOKA.GD.ZS,RGN,"insert into wb_indicator (wb_indicator_name,wb_indicator_api_code,wb_indicator_type) values('Current account balance (% of GDP)','BN.CAB.XOKA.GD.ZS','RGN');"
Deposit interest rate (%),FR.INR.DPST,RGN,"insert into wb_indicator (wb_indicator_name,wb_indicator_api_code,wb_indicator_type) values('Deposit interest rate (%)','FR.INR.DPST','RGN');"
Deposit money banks' assets to GDP (%),GFDD.DI.02,RGN,"insert into wb_indicator (wb_indicator_name,wb_indicator_api_code,wb_indicator_type) values('Deposit money banks' assets to GDP (%)','GFDD.DI.02','RGN');"
Domestic credit provided by financial sector (% of GDP),FS.AST.DOMS.GD.ZS,RGN,"insert into wb_indicator (wb_indicator_name,wb_indicator_api_code,wb_indicator_type) values('Domestic credit provided by financial sector (% of GDP)','FS.AST.DOMS.GD.ZS','RGN');"
Domestic credit to private sector (% of GDP),FS.AST.PRVT.GD.ZS,RGN,"insert into wb_indicator (wb_indicator_name,wb_indicator_api_code,wb_indicator_type) values('Domestic credit to private sector (% of GDP)','FS.AST.PRVT.GD.ZS','RGN');"
Domestic credit to private sector by banks (% of GDP),FD.AST.PRVT.GD.ZS,RGN,"insert into wb_indicator (wb_indicator_name,wb_indicator_api_code,wb_indicator_type) values('Domestic credit to private sector by banks (% of GDP)','FD.AST.PRVT.GD.ZS','RGN');"
"Energy imports, net (% of energy use)",EG.IMP.CONS.ZS,RGN,"insert into wb_indicator (wb_indicator_name,wb_indicator_api_code,wb_indicator_type) values('Energy imports, net (% of energy use)','EG.IMP.CONS.ZS','RGN');"
Expense (% of GDP),GC.XPN.TOTL.GD.ZS,RGN,"insert into wb_indicator (wb_indicator_name,wb_indicator_api_code,wb_indicator_type) values('Expense (% of GDP)','GC.XPN.TOTL.GD.ZS','RGN');"
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,RGN,"insert into wb_indicator (wb_indicator_name,wb_indicator_api_code,wb_indicator_type) values('Exports of goods and services (% of GDP)','NE.EXP.GNFS.ZS','RGN');"
External balance on goods and services (% of GDP),NE.RSB.GNFS.ZS,RGN,"insert into wb_indicator (wb_indicator_name,wb_indicator_api_code,wb_indicator_type) values('External balance on goods and services (% of GDP)','NE.RSB.GNFS.ZS','RGN');"
"External debt stocks (% of exports of goods, services and primary income)",DT.DOD.DECT.EX.ZS,RGN,"insert into wb_indicator (wb_indicator_name,wb_indicator_api_code,wb_indicator_type) values('External debt stocks (% of exports of goods, services and primary income)','DT.DOD.DECT.EX.ZS','RGN');"
External debt stocks (% of GNI),DT.DOD.DECT.GN.ZS,RGN,"insert into wb_indicator (wb_indicator_name,wb_indicator_api_code,wb_indicator_type) values('External debt stocks (% of GNI)','DT.DOD.DECT.GN.ZS','RGN');"
"Final consumption expenditure, etc. (% of GDP)",NE.CON.TETC.ZS,RGN,"insert into wb_indicator (wb_indicator_name,wb_indicator_api_code,wb_indicator_type) values('Final consumption expenditure, etc. (% of GDP)','NE.CON.TETC.ZS','RGN');"
Financial system deposits to GDP (%),GFDD.DI.08,RGN,"insert into wb_indicator (wb_indicator_name,wb_indicator_api_code,wb_indicator_type) values('Financial system deposits to GDP (%)','GFDD.DI.08','RGN');"
"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,RGN,"insert into wb_indicator (wb_indicator_name,wb_indicator_api_code,wb_indicator_type) values('Foreign direct investment, net inflows (% of GDP)','BX.KLT.DINV.WD.GD.ZS','RGN');"
"Foreign direct investment, net outflows (% of GDP)",BM.KLT.DINV.WD.GD.ZS,RGN,"insert into wb_indicator (wb_indicator_name,wb_indicator_api_code,wb_indicator_type) values('Foreign direct investment, net outflows (% of GDP)','BM.KLT.DINV.WD.GD.ZS','RGN');"
Fuel exports (% of merchandise exports),TX.VAL.FUEL.ZS.UN,RGN,"insert into wb_indicator (wb_indicator_name,wb_indicator_api_code,wb_indicator_type) values('Fuel exports (% of merchandise exports)','TX.VAL.FUEL.ZS.UN','RGN');"
Fuel imports (% of merchandise imports),TM.VAL.FUEL.ZS.UN,RGN,"insert into wb_indicator (wb_indicator_name,wb_indicator_api_code,wb_indicator_type) values('Fuel imports (% of merchandise imports)','TM.VAL.FUEL.ZS.UN','RGN');"
GDP (current US$),NY.GDP.MKTP.CD,RGN,"insert into wb_indicator (wb_indicator_name,wb_indicator_api_code,wb_indicator_type) values('GDP (current US$)','NY.GDP.MKTP.CD','RGN');"
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,RGN,"insert into wb_indicator (wb_indicator_name,wb_indicator_api_code,wb_indicator_type) values('GDP growth (annual %)','NY.GDP.MKTP.KD.ZG','RGN');"
GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,RGN,"insert into wb_indicator (wb_indicator_name,wb_indicator_api_code,wb_indicator_type) values('GDP per capita (constant 2010 US$)','NY.GDP.PCAP.KD','RGN');"
"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,RGN,"insert into wb_indicator (wb_indicator_name,wb_indicator_api_code,wb_indicator_type) values('GDP per capita, PPP (constant 2011 international $)','NY.GDP.PCAP.PP.KD','RGN');"
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,RGN,"insert into wb_indicator (wb_indicator_name,wb_indicator_api_code,wb_indicator_type) values('GDP per capita, PPP (current international $)','NY.GDP.PCAP.PP.CD','RGN');"
General government final consumption expenditure (% of GDP),NE.CON.GOVT.ZS,RGN,"insert into wb_indicator (wb_indicator_name,wb_indicator_api_code,wb_indicator_type) values('General government final consumption expenditure (% of GDP)','NE.CON.GOVT.ZS','RGN');"
Gross fixed capital formation (% of GDP),NE.GDI.FTOT.ZS,RGN,"insert into wb_indicator (wb_indicator_name,wb_indicator_api_code,wb_indicator_type) values('Gross fixed capital formation (% of GDP)','NE.GDI.FTOT.ZS','RGN');"
Gross portfolio debt assets to GDP (%),GFDD.DM.11,RGN,"insert into wb_indicator (wb_indicator_name,wb_indicator_api_code,wb_indicator_type) values('Gross portfolio debt assets to GDP (%)','GFDD.DM.11','RGN');"
Gross portfolio debt liabilities to GDP (%),GFDD.DM.10,RGN,"insert into wb_indicator (wb_indicator_name,wb_indicator_api_code,wb_indicator_type) values('Gross portfolio debt liabilities to GDP (%)','GFDD.DM.10','RGN');"
Gross portfolio equity assets to GDP (%),GFDD.DM.09,RGN,"insert into wb_indicator (wb_indicator_name,wb_indicator_api_code,wb_indicator_type) values('Gross portfolio equity assets to GDP (%)','GFDD.DM.09','RGN');"
Gross portfolio equity liabilities to GDP (%),GFDD.DM.08,RGN,"insert into wb_indicator (wb_indicator_name,wb_indicator_api_code,wb_indicator_type) values('Gross portfolio equity liabilities to GDP (%)','GFDD.DM.08','RGN');"
High-technology exports (% of manufactured exports),TX.VAL.TECH.MF.ZS,RGN,"insert into wb_indicator (wb_indicator_name,wb_indicator_api_code,wb_indicator_type) values('High-technology exports (% of manufactured exports)','TX.VAL.TECH.MF.ZS','RGN');"
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,RGN,"insert into wb_indicator (wb_indicator_name,wb_indicator_api_code,wb_indicator_type) values('Imports of goods and services (% of GDP)','NE.IMP.GNFS.ZS','RGN');"
"Industrial Production, constant US$, seas. adj.,,",IPTOTSAKD,RGN,"insert into wb_indicator (wb_indicator_name,wb_indicator_api_code,wb_indicator_type) values('Industrial Production, constant US$, seas. adj.,,','IPTOTSAKD','RGN');"
"Industrial Production, constant US$,,,",IPTOTNSKD,RGN,"insert into wb_indicator (wb_indicator_name,wb_indicator_api_code,wb_indicator_type) values('Industrial Production, constant US$,,,','IPTOTNSKD','RGN');"
"Industry, value added (% of GDP)",NV.IND.TOTL.ZS,RGN,"insert into wb_indicator (wb_indicator_name,wb_indicator_api_code,wb_indicator_type) values('Industry, value added (% of GDP)','NV.IND.TOTL.ZS','RGN');"
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,RGN,"insert into wb_indicator (wb_indicator_name,wb_indicator_api_code,wb_indicator_type) values('Inflation, consumer prices (annual %)','FP.CPI.TOTL.ZG','RGN');"
Lending interest rate (%),FR.INR.LEND,RGN,"insert into wb_indicator (wb_indicator_name,wb_indicator_api_code,wb_indicator_type) values('Lending interest rate (%)','FR.INR.LEND','RGN');"
Liquid liabilities to GDP (%),GFDD.DI.05,RGN,"insert into wb_indicator (wb_indicator_name,wb_indicator_api_code,wb_indicator_type) values('Liquid liabilities to GDP (%)','GFDD.DI.05','RGN');"
"Manufacturing, value added (% of GDP)",NV.IND.MANF.ZS,RGN,"insert into wb_indicator (wb_indicator_name,wb_indicator_api_code,wb_indicator_type) values('Manufacturing, value added (% of GDP)','NV.IND.MANF.ZS','RGN');"
Net acquisition of financial assets (% of GDP),GC.AST.TOTL.GD.ZS,RGN,"insert into wb_indicator (wb_indicator_name,wb_indicator_api_code,wb_indicator_type) values('Net acquisition of financial assets (% of GDP)','GC.AST.TOTL.GD.ZS','RGN');"
Net barter terms of trade index (2000 = 100),TT.PRI.MRCH.XD.WD,RGN,"insert into wb_indicator (wb_indicator_name,wb_indicator_api_code,wb_indicator_type) values('Net barter terms of trade index (2000 = 100)','TT.PRI.MRCH.XD.WD','RGN');"
"Net capital account (BoP, current US$)",BN.TRF.KOGT.CD,RGN,"insert into wb_indicator (wb_indicator_name,wb_indicator_api_code,wb_indicator_type) values('Net capital account (BoP, current US$)','BN.TRF.KOGT.CD','RGN');"
"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,RGN,"insert into wb_indicator (wb_indicator_name,wb_indicator_api_code,wb_indicator_type) values('Official exchange rate (LCU per US$, period average)','PA.NUS.FCRF','RGN');"
Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,RGN,"insert into wb_indicator (wb_indicator_name,wb_indicator_api_code,wb_indicator_type) values('Oil rents (% of GDP)','NY.GDP.PETR.RT.ZS','RGN');"
Ores and metals exports (% of merchandise exports),TX.VAL.MMTL.ZS.UN,RGN,"insert into wb_indicator (wb_indicator_name,wb_indicator_api_code,wb_indicator_type) values('Ores and metals exports (% of merchandise exports)','TX.VAL.MMTL.ZS.UN','RGN');"
Ores and metals imports (% of merchandise imports),TM.VAL.MMTL.ZS.UN,RGN,"insert into wb_indicator (wb_indicator_name,wb_indicator_api_code,wb_indicator_type) values('Ores and metals imports (% of merchandise imports)','TM.VAL.MMTL.ZS.UN','RGN');"
Present value of external debt (% of GNI),DT.DOD.PVLX.GN.ZS,RGN,"insert into wb_indicator (wb_indicator_name,wb_indicator_api_code,wb_indicator_type) values('Present value of external debt (% of GNI)','DT.DOD.PVLX.GN.ZS','RGN');"
Real effective exchange rate index (2010 = 100),PX.REX.REER,RGN,"insert into wb_indicator (wb_indicator_name,wb_indicator_api_code,wb_indicator_type) values('Real effective exchange rate index (2010 = 100)','PX.REX.REER','RGN');"
"Services, etc., value added (% of GDP)",NV.SRV.TETC.ZS,RGN,"insert into wb_indicator (wb_indicator_name,wb_indicator_api_code,wb_indicator_type) values('Services, etc., value added (% of GDP)','NV.SRV.TETC.ZS','RGN');"
"Short-term debt (% of exports of goods, services and primary income)",DT.DOD.DSTC.XP.ZS,RGN,"insert into wb_indicator (wb_indicator_name,wb_indicator_api_code,wb_indicator_type) values('Short-term debt (% of exports of goods, services and primary income)','DT.DOD.DSTC.XP.ZS','RGN');"
Short-term debt (% of total external debt),DT.DOD.DSTC.ZS,RGN,"insert into wb_indicator (wb_indicator_name,wb_indicator_api_code,wb_indicator_type) values('Short-term debt (% of total external debt)','DT.DOD.DSTC.ZS','RGN');"
Short-term debt (% of total reserves),DT.DOD.DSTC.IR.ZS,RGN,"insert into wb_indicator (wb_indicator_name,wb_indicator_api_code,wb_indicator_type) values('Short-term debt (% of total reserves)','DT.DOD.DSTC.IR.ZS','RGN');"
Stock market capitalization to GDP (%),GFDD.DM.01,RGN,"insert into wb_indicator (wb_indicator_name,wb_indicator_api_code,wb_indicator_type) values('Stock market capitalization to GDP (%)','GFDD.DM.01','RGN');"
"Stock market return (%, year-on-year)",GFDD.OM.02,RGN,"insert into wb_indicator (wb_indicator_name,wb_indicator_api_code,wb_indicator_type) values('Stock market return (%, year-on-year)','GFDD.OM.02','RGN');"
Stock price volatility,GFDD.SM.01,RGN,"insert into wb_indicator (wb_indicator_name,wb_indicator_api_code,wb_indicator_type) values('Stock price volatility','GFDD.SM.01','RGN');"
Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,RGN,"insert into wb_indicator (wb_indicator_name,wb_indicator_api_code,wb_indicator_type) values('Tax revenue (% of GDP)','GC.TAX.TOTL.GD.ZS','RGN');"
"Total debt service (% of exports of goods, services and primary income)",DT.TDS.DECT.EX.ZS,RGN,"insert into wb_indicator (wb_indicator_name,wb_indicator_api_code,wb_indicator_type) values('Total debt service (% of exports of goods, services and primary income)','DT.TDS.DECT.EX.ZS','RGN');"
Total debt service (% of GNI),DT.TDS.DECT.GN.ZS,RGN,"insert into wb_indicator (wb_indicator_name,wb_indicator_api_code,wb_indicator_type) values('Total debt service (% of GNI)','DT.TDS.DECT.GN.ZS','RGN');"
Total natural resources rents (% of GDP),NY.GDP.TOTL.RT.ZS,RGN,"insert into wb_indicator (wb_indicator_name,wb_indicator_api_code,wb_indicator_type) values('Total natural resources rents (% of GDP)','NY.GDP.TOTL.RT.ZS','RGN');"
Total reserves (% of total external debt),FI.RES.TOTL.DT.ZS,RGN,"insert into wb_indicator (wb_indicator_name,wb_indicator_api_code,wb_indicator_type) values('Total reserves (% of total external debt)','FI.RES.TOTL.DT.ZS','RGN');"
Total reserves in months of imports,FI.RES.TOTL.MO,RGN,"insert into wb_indicator (wb_indicator_name,wb_indicator_api_code,wb_indicator_type) values('Total reserves in months of imports','FI.RES.TOTL.MO','RGN');"
Trade (% of GDP),NE.TRD.GNFS.ZS,RGN,"insert into wb_indicator (wb_indicator_name,wb_indicator_api_code,wb_indicator_type) values('Trade (% of GDP)','NE.TRD.GNFS.ZS','RGN');"
"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,RGN,"insert into wb_indicator (wb_indicator_name,wb_indicator_api_code,wb_indicator_type) values('Unemployment, total (% of total labor force) (modeled ILO estimate)','SL.UEM.TOTL.ZS','RGN');"
"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,RGN,"insert into wb_indicator (wb_indicator_name,wb_indicator_api_code,wb_indicator_type) values('Unemployment, total (% of total labor force) (national estimate)','SL.UEM.TOTL.NE.ZS','RGN');"
"Copper, $/mt, nominal$",COPPER,WLD,"insert into wb_indicator (wb_indicator_name,wb_indicator_api_code,wb_indicator_type) values('Copper, $/mt, nominal$','COPPER','WLD');"
"Crude oil, avg, spot, $/bbl, nominal$",CRUDE_PETRO,WLD,"insert into wb_indicator (wb_indicator_name,wb_indicator_api_code,wb_indicator_type) values('Crude oil, avg, spot, $/bbl, nominal$','CRUDE_PETRO','WLD');"
"Crude oil, Brendt, $/bbl, nominal$",CRUDE_BRENT,WLD,"insert into wb_indicator (wb_indicator_name,wb_indicator_api_code,wb_indicator_type) values('Crude oil, Brendt, $/bbl, nominal$','CRUDE_BRENT','WLD');"
"Energy, 2010=100, nominal$",IENERGY,WLD,"insert into wb_indicator (wb_indicator_name,wb_indicator_api_code,wb_indicator_type) values('Energy, 2010=100, nominal$','IENERGY','WLD');"
"Gold, $/toz, nominal$",GOLD,WLD,"insert into wb_indicator (wb_indicator_name,wb_indicator_api_code,wb_indicator_type) values('Gold, $/toz, nominal$','GOLD','WLD');"
"Non-energy commodities, 2010=100, nominal$",INONFUEL,WLD,"insert into wb_indicator (wb_indicator_name,wb_indicator_api_code,wb_indicator_type) values('Non-energy commodities, 2010=100, nominal$','INONFUEL','WLD');"
